"Star_idx":"s_name":"Distance From The Sun":"star temperature":"relative mass":"Radius":"STAR LUMINOSITY":"TYPE OF STAR"
4509:"Aurum Quasar":42,3:2920:0,1:0,03:0,06:"M:5:V"
7302:"Morava":973,141:3729:0,6:0,79:0,56:"K:3:V"
2529:"Kiseki Expanse":90:4452:0,7:0,71:0,4:"K:2:V"
2594:"Alya":279,033:4184:0,7:0,71:0,54:"K:6:V"
5821:"Sāmaya":769,172:4085:0,8:0,96:0,48:"K:3:V"
574:"Starshard":4900:2999:0,3:0,52:0,01:"M:2:V"
2905:"Kaminari Enigma":431,369:2539:0,3:0,17:0,07:"M:8:V"
1218:"Sulafat":25,9:3997:0,7:0,94:0,56:"K:3:V"
9197:"Subra":120:2452:0,3:0,34:0,08:"M:2:V"
5026:"Sora":2800:2811:0,2:0,02:0,08:"M:1:V"
941:"Peacock":166,169:5349:0,9:0,97:1,03:"G:2:V"
3797:"Tsukiyo":406,985:5368:1:1,03:0,72:"G:5:V"
5737:"Riftwanderer":1253,29:2667:0,4:0,36:0,02:"M:0:V"
1967:"Alioth":774,653:4553:0,5:0,73:0,39:"K:0:V"
9242:"Enigmatic Abyss":137,59:5341:1:1,07:1,31:"G:2:V"
3043:"Cervantes":57,7911:2662:0,2:0,51:0,02:"M:6:V"
2284:"Lucilinburhuc":1698,68:2413:0,4:0,39:0,04:"M:7:V"
2222:"Geminga":28,47:2508:0,1:0,27:0:"M:4:V"
8748:"Altais":713,733:5519:0,9:0,99:1,26:"G:2:V"
3618:"Rapeto":598:2565:0,3:0,33:0,02:"M:2:V"
771:"Photonara":30,8:2844:0,3:0,61:0,07:"M:2:V"
1925:"Stellaria Crypt":4100:3257:0,1:0,3:0,04:"M:3:V"
8560:"Alzirr":149,6:3431:0,1:0,52:0,05:"M:1:V"
250:"Helvetios":925,926:2650:0,2:0,34:0,02:"M:5:V"
3973:"Cosmosith":31,7627:3711:0,8:0,88:0,46:"K:2:V"
4740:"Ebon Crypt":399:2925:0,3:0,22:0,01:"M:3:V"
7234:"Arcanara":278,2:5257:0,9:1,08:1,17:"G:5:V"
5983:"Miram":577,934:3717:0,7:0,77:0,43:"K:5:V"
6135:"Larawag":252:3893:0,6:0,86:0,39:"K:3:V"
6824:"Antares":57,7807:2879:0,4:0,07:0,05:"M:5:V"
4538:"Sabik":297:4109:0,7:0,71:0,25:"K:5:V"
3682:"Biham":158,7:2553:0,4:0,28:0,03:"M:4:V"
1868:"Alrescha":1183,85:2585:0,2:0,53:0,04:"M:2:V"
4172:"Hannya's Silence":700,673:4122:0,5:0,73:0,3:"K:3:V"
9727:"Rana":2198,41:5490:0,8:0,97:1,27:"G:3:V"
8643:"Quantraflux":338,8:3123:0,3:0,52:0,01:"M:2:V"
8360:"Seginus":828,363:2825:0,2:0,44:0,05:"M:1:V"
5958:"Aniara":1307,52:3277:0,2:0,43:0,04:"M:2:V"
7173:"Funi":646,705:2715:0,3:0,61:0,07:"M:3:V"
6305:"Merak":5760:3349:0,1:0,63:0,01:"M:2:V"
7641:"Ketsueki Whispers":4019:4125:0,6:0,82:0,16:"K:0:V"
6564:"Wurren":606,061:2437:0,4:0,19:0,05:"M:8:V"
8795:"Nebula Obscura":310,5:2915:0,1:0,11:0,03:"M:1:V"
720:"Astral Echo":27,9956:5347:0,9:1,01:1,17:"G:2:V"
822:"Karaka":68,5:3786:0,6:0,78:0,17:"K:2:V"
8514:"Sadachbia":618:2657:0,4:0,53:0,06:"M:2:V"
942:"Nebulonara":405:3366:0,1:0,18:0,05:"M:2:V"
3121:"Azelfafage":965,904:4396:0,8:0,94:0,26:"K:2:V"
9014:"Sadalbari":820,506:2559:0,4:0,64:0,02:"M:4:V"
7156:"Aetherial Mirage":1030,81:2663:0,2:0,26:0,06:"M:3:V"
2864:"Nebula Nexus":1196,74:4142:0,8:0,73:0,52:"K:5:V"
904:"Quanticus":6640:3282:0,2:0,12:0,07:"M:2:V"
47:"Drakonir":396,2:2848:0,3:0,61:0,06:"M:5:V"
6275:"Torii Beacon":532:4065:0,5:0,9:0,48:"K:0:V"
1:"Hikari":85,6:3481:0,4:0,61:0,06:"M:0:V"
2904:"Tonatiuh":5080:4101:0,6:0,84:0,4:"K:2:V"
544:"Infinite Whispers":596,09:3248:0,3:0,68:0,01:"M:1:V"
7569:"Nushagak":1174,95:4198:0,7:0,7:0,57:"K:3:V"
853:"Mazaalai":591,602:3868:0,6:0,86:0,46:"K:3:V"
2319:"Alkaphrah":38,9679:3806:0,5:0,75:0,46:"K:7:V"
3548:"Alsephina":595,203:2473:0,4:0,45:0,07:"M:0:V"
4415:"Alasia":1053,19:2813:0,3:0,17:0,08:"M:4:V"
8606:"Ukiyo Reverie":598,516:2532:0,1:0,02:0:"M:1:V"
1242:"Dabih":597,943:2481:0,1:0,45:0,01:"M:8:V"
9463:"Kamikaze Resonance":1361,66:5201:1:0,98:0,91:"G:4:V"
5201:"Quanticara":1847,75:2407:0,2:0,61:0,07:"M:3:V"
